Unnamed: 0,book_id,cover_image_uri,book_title,book_details,format,publication_info,authorlink,author,num_pages,genres,num_ratings,num_reviews,average_rating,rating_distribution
0,1,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1587697303i/1.jpg,Harry Potter and the Half-Blood Prince,"It is the middle of the summer, but there is an unseasonal mist pressing against the windowpanes. Harry Potter is waiting nervously in his bedroom at the Dursleys' house in Privet Drive for a visit from Professor Dumbledore himself. One of the last times he saw the Headmaster, he was in a fierce one-to-one duel with Lord Voldemort, and Harry can't quite believe that Professor Dumbledore will actually appear at the Dursleys' of all places. Why is the Professor coming to visit him now? What is it that cannot wait until Harry returns to Hogwarts in a few weeks' time? Harry's sixth year at Hogwarts has already got off to an unusual start, as the worlds of Muggle and magic start to intertwine...","['652 pages, Paperback']","['First published July 16, 2005']",https://www.goodreads.com/author/show/1077326.J_K_Rowling,J.K. Rowling,['652'],"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Adventure']",3292516,58398,4.58,"{'5': '2,244,154', '4': '775,028', '3': '219,864', '2': '35,870', '1': '17,600'}"
1,2,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546910265i/2.jpg,Harry Potter and the Order of the Phoenix,"Harry Potter is about to start his fifth year at Hogwarts School of Witchcraft and Wizardry. Unlike most schoolboys, Harry never enjoys his summer holidays, but this summer is even worse than usual. The Dursleys, of course, are making his life a misery, but even his best friends, Ron and Hermione, seem to be neglecting him.Harry has had enough. He is beginning to think he must do something, anything, to change his situation, when the summer holidays come to an end in a very dramatic fashion. What Harry is about to discover in his new year at Hogwarts will turn his world upside down...","['912 pages, Paperback']","['First published June 21, 2003']",https://www.goodreads.com/author/show/1077326.J_K_Rowling,J.K. Rowling,['912'],"['Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Adventure', 'Middle Grade']",3401709,64300,4.5,"{'5': '2,178,760', '4': '856,178', '3': '293,293', '2': '51,763', '1': '21,715'}"
2,3,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1474154022i/3.jpg,Harry Potter and the Sorcerer's Stone,"Harry Potter has no idea how famous he is. That's because he's being raised by his miserable aunt and uncle who are terrified Harry will learn that he's really a wizard, just as his parents were. But everything changes when Harry is summoned to attend an infamous school for wizards, and he begins to discover some clues about his illustrious birthright. From the surprising way he is greeted by a lovable giant, to the unique curriculum and colorful faculty at his unusual school, Harry finds himself drawn deep inside a mystical world he never knew existed and closer to his own noble destiny.","['309 pages, Hardcover']","['First published June 26, 1997']",https://www.goodreads.com/author/show/1077326.J_K_Rowling,J.K. Rowling,['309'],"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']",10116247,163493,4.47,"{'5': '6,544,542', '4': '2,348,390', '3': '856,996', '2': '194,791', '1': '171,528'}"
3,5,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630547330i/5.jpg,Harry Potter and the Prisoner of Azkaban,"Harry Potter, along with his best friends, Ron and Hermione, is about to start his third year at Hogwarts School of Witchcraft and Wizardry. Harry can't wait to get back to school after the summer holidays. (Who wouldn't if they lived with the horrible Dursleys?) But when Harry gets to Hogwarts, the atmosphere is tense. There's an escaped mass murderer on the loose, and the sinister prison guards of Azkaban have been called in to guard the school...","['435 pages, Mass Market Paperback']","['First published July 8, 1999']",https://www.goodreads.com/author/show/1077326.J_K_Rowling,J.K. Rowling,['435'],"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']",4215031,84959,4.58,"{'5': '2,892,322', '4': '970,190', '3': '287,733', '2': '40,587', '1': '24,199'}"
4,6,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554006152i/6.jpg,Harry Potter and the Goblet of Fire,"It is the summer holidays and soon Harry Potter will be starting his fourth year at Hogwarts School of Witchcraft and Wizardry. Harry is counting the days: there are new spells to be learnt, more Quidditch to be played, and Hogwarts castle to continue exploring. But Harry needs to be careful - there are unexpected dangers lurking...","['734 pages, Paperback']","['First published July 8, 2000']",https://www.goodreads.com/author/show/1077326.J_K_Rowling,J.K. Rowling,['734'],"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Middle Grade']",3718209,69961,4.57,"{'5': '2,500,070', '4': '899,496', '3': '259,745', '2': '38,301', '1': '20,597'}"
5,8,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388185391i/8.jpg,"Harry Potter Boxed Set, Books 1-5","Box Set containing Harry Potter and the Sorcerer's Stone, Harry Potter and the Chamber Of Secrets, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Goblet Of Fire, and Harry Potter and the Order of the Phoenix!","['2690 pages, Paperback']","['First published October 1, 2003']",https://www.goodreads.com/author/show/1077326.J_K_Rowling,J.K. Rowling,['2690'],"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Adventure', 'Supernatural', 'Childrens']",148443,313,4.72,"{'5': '120,035', '4': '19,721', '3': '5,489', '2': '1,329', '1': '1,869'}"
6,10,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328867351i/10.jpg,Harry Potter Collection,"Six years of magic, adventure, and mystery make this luxurious boxed set the perfect gift for Harry Potter fans of all ages. Follow Harry from his first days at Hogwarts School for Witchcraft and Wizardry, through his many adventures with Hermione and Ron, to his confrontations with rival Draco Malfoy and the dreaded Professor Snape. From the thrilling search for the Sorcerer's Stone to the Triwizard Tournament to the return of He-Who-Must-Not-Be-Named, each adventure is more riveting and exhilarating than its predecessor, and now all six books are available together for the first time in an elegant hardcover boxed set.","['3342 pages, Hardcover']","['First published January 1, 2005']",https://www.goodreads.com/author/show/1077326.J_K_Rowling,J.K. Rowling,['3342'],"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Classics', 'Adventure']",32990,974,4.72,"{'5': '26,491', '4': '4,731', '3': '1,183', '2': '247', '1': '338'}"
7,11,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1531891848i/11.jpg,The Hitchhiker’s Guide to the Galaxy,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.Together this dynamic pair begin a journey through space aided by quotes from The Hitchhiker's Guide (""A towel is about the most massively useful thing an interstellar hitchhiker can have"") and a galaxy-full of fellow travelers: Zaphod Beeblebrox--the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy; Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant, and chronically depressed robot; Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years.Where are these pens? Why are we born? Why do we die? Why do we spend so much time between wearing digital watches? For all the answers stick your thumb to the stars. And don't forget to bring a towel!","['216 pages, Mass Market Paperback']","['First published October 12, 1979']",https://www.goodreads.com/author/show/4.Douglas_Adams,Douglas Adams,['216'],"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Comedy', 'Audiobook', 'Science Fiction Fantasy']",1849362,46122,4.23,"{'5': '936,656', '4': '544,512', '3': '256,245', '2': '73,581', '1': '38,368'}"
8,13,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404613595i/13.jpg,The Ultimate Hitchhiker’s Guide to the Galaxy,"At last in paperback in one complete volume, here are the five novels from Douglas Adams's Hitchhiker series. ""The Hitchhiker's Guide to the Galaxy""Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space.""The Restaurant at the End of the Universe""Facing annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat.""Life, the Universe and Everything""The unhappy inhabitants of planet Krikkit are sick of looking at the night sky- so they plan to destroy it. The universe, that is. Now only five individuals can avert Armageddon: mild-mannered Arthur Dent and his stalwart crew.""So Long, and Thanks for All the Fish""Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription conspires to thrust him back to reality. So to speak.""Mostly Harmless""Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself?Also includes the short story ""Young Zaphod Plays It Safe"".","['815 pages, Paperback']","['First published January 17, 1996']",https://www.goodreads.com/author/show/4.Douglas_Adams,Douglas Adams,['815'],"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Classics', 'Comedy', 'Science Fiction Fantasy']",323845,6355,4.38,"{'5': '187,914', '4': '88,512', '3': '34,756', '2': '8,761', '1': '3,902'}"
9,21,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1433086293i/21.jpg,A Short History of Nearly Everything,"Bill Bryson describes himself as a reluctant traveller, but even when he stays safely at home he can't contain his curiosity about the world around him. ""A Short History of Nearly Everything"" is his quest to understand everything that has happened from the Big Bang to the rise of civilisation - how we got from there, being nothing at all, to here, being us. The ultimate eye-opening journey through time and space, revealing the world in a way most of us have never seen it before.","['544 pages, Paperback']","['First published January 1, 2003']",https://www.goodreads.com/author/show/7.Bill_Bryson,Bill Bryson,['544'],"['Nonfiction', 'Science', 'History', 'Audiobook', 'Humor', 'Physics', 'Historical']",387803,15874,4.21,"{'5': '184,880', '4': '130,221', '3': '51,751', '2': '13,030', '1': '7,921'}"
