Label,technology,badminton,violence,mecha,children
The Shawshank Redemption,0.7646223165756436,0.7339002142687894,0.7695614676057635,0.7405367240468708,0.7645408029944759
The Godfather,0.7678972516644706,0.724816798203845,0.769990163008726,0.7479490859606001,0.7578361494081242
The Dark Knight,0.7579104402526106,0.7378825689978808,0.7745378588429517,0.7389971825407888,0.7451436019287246
The Godfather: Part II,0.7560858906942973,0.711290032492355,0.759014602472679,0.728212194816704,0.7652279354827719
12 Angry Men,0.7545954355959439,0.732551020119454,0.7634232429352515,0.7388432632033451,0.7487227127077908
The Lord of the Rings: The Return of the King,0.7534970908000269,0.7400930015732268,0.7426164887909422,0.7424017355349025,0.7545974976383835
Pulp Fiction,0.744099467133293,0.7386857545320198,0.7866994674872384,0.7491490434646941,0.7501016460218445
Schindler's List,0.7551050254627577,0.7035535196974337,0.7370071008643926,0.7426507065104148,0.7452167436194422
Inception,0.7826357870775136,0.7328874824505774,0.7366374974275661,0.7500361392354428,0.7450059029749595
Fight Club,0.7732461264836749,0.7441552064869452,0.7773582626794373,0.7792011244824903,0.7592559921265682
The Lord of the Rings: The Fellowship of the Ring,0.7531628192763192,0.7419456055176706,0.7369441808819813,0.765681657997167,0.7590260098766761
Forrest Gump,0.7628414105373172,0.7410662572529408,0.7589784365189075,0.7279730091211807,0.7584915574478834
"Il buono, il brutto, il cattivo",0.7621935534197327,0.7431545360926042,0.7536219010833044,0.7497768498294878,0.7582641318493827
The Lord of the Rings: The Two Towers,0.7497194877022574,0.7275326316772842,0.7323593800325591,0.7366137840921765,0.7441510459955933
The Matrix,0.7785040643846592,0.7285165831997227,0.7432280962262459,0.7812141591016966,0.7466084399904184
Goodfellas,0.7375340601439664,0.717538063223441,0.752819597517995,0.7243546814226374,0.7461627339353469
Star Wars: Episode V - The Empire Strikes Back,0.7511678916767449,0.7413199211420927,0.7441408419953011,0.7436309595264678,0.7555905390348286
One Flew Over the Cuckoo's Nest,0.7428531765287625,0.7323867180359593,0.7754160092694923,0.7349892401234625,0.7592614946578183
Hamilton,0.7424005939646549,0.7064449447149491,0.7255023638673647,0.7141712856624536,0.7372876718982517
Gisaengchung,0.7643492541541644,0.7381698900282121,0.7664198720710724,0.7351840749076286,0.757983208063318
Soorarai Pottru,0.77330307653414,0.7564109086971171,0.7414737547045367,0.7701402940092085,0.7361108212121129
Interstellar,0.7842059140715794,0.7407548609717914,0.7410480486954579,0.780364809037738,0.7665875081625365
Cidade de Deus,0.7708137634068413,0.7472313181314894,0.7671064015563777,0.748285906005062,0.7961682582822958
Sen to Chihiro no kamikakushi,0.7709109122791751,0.7416373944548925,0.771098876423774,0.7720552642892916,0.7969058536391616
Saving Private Ryan,0.7560773272442439,0.7392584774069565,0.748790217745268,0.7483696000186071,0.7627032450286535
