,dystopia,science fiction fantasy,world war,romance,vampire,survival
The Hunger Games,0.27976156972013727,0.1900022484401479,0.1555086066433291,0.09936703593896565,0.16323697676147425,0.31982406961886545
Harry Potter and the Order of the Phoenix,0.23062492748247357,0.22520330358422214,0.15038045506285722,0.12007453042872045,0.213208561336893,0.1113972353298676
To Kill a Mockingbird,0.10052031431213758,0.11362250375113007,0.11602730250056463,0.12839608648131656,0.0904840622102454,0.1362193682328174
Pride and Prejudice,0.09281907700793424,0.12239558740161281,0.11680564219506927,0.20966777013075646,0.10243509893328223,0.11755759080994586
Twilight,0.15248957070084654,0.2135130313070467,0.1184895969781652,0.22224224083267413,0.4437170741938639,0.11808647462928545
The Book Thief,0.20460430150424058,0.21430920185218616,0.16681202064994066,0.12944182130290338,0.17157735370651117,0.10622552939099975
Animal Farm,0.3189763109605265,0.20251058957437346,0.19328013191613616,0.07510425249908546,0.11236436085764077,0.13537393349425217
The Chronicles of Narnia,0.16230651127194848,0.2901834190569186,0.19927360256856422,0.12583322369012603,0.1177420303439044,0.0941814095236672
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,0.14630030184829432,0.22979077235408135,0.14222456754286433,0.1391043679828722,0.0717939507692259,0.06621992460167124
Gone with the Wind,0.15669694528549902,0.0688699943310171,0.11162653298589133,0.18203594198523126,0.044297532798083024,0.15404361562544774
The Fault in Our Stars,0.1982679796101137,0.2436241675788991,0.13584256662998517,0.156922367273108,0.12495177157885623,0.20338362032658283
The Hitchhiker's Guide to the Galaxy,0.2525659747865512,0.2918216975900521,0.16730736926687434,0.07449094554819037,0.09666065999960674,0.11236689698882067
The Giving Tree,0.05145900355327999,0.11575449511080084,0.01364810944913808,0.147413820372677,0.07502278256742524,0.08571093919533847
Wuthering Heights,0.10186615960156331,0.08176740537742781,0.1212063014784697,0.09275077920237104,0.10950764410010187,0.08324552797279357
The Da Vinci Code,0.1584060895447009,0.2435556176360009,0.1439799570555861,0.158690625041967,0.21272789997563357,0.07947404035817376
Memoirs of a Geisha,0.17655445199369701,0.19763555652574472,0.10769148580442663,0.2790521069993807,0.16737028151086986,0.08686761610602622
The Picture of Dorian Gray,0.2069657384935346,0.16567972424608163,0.16961883805003458,0.21886056477105367,0.20928244840358567,0.09220345676788759
Alice's Adventures in Wonderland & Through the Looking-Glass,0.12317507276358969,0.17378795968963343,0.12795628624882172,0.11429805829225848,0.1282720325248431,0.07907221044655437
Jane Eyre,0.17352702883505708,0.15459390008964005,0.07641661764291063,0.2495701042680005,0.2550156236944769,0.12012056330092177
Les Misérables,0.18839926776370614,0.15914022929352784,0.12197447196903746,0.18924104632918476,0.14200598619918317,0.08116715303405107
