,rebellion,sorcery,justice,romance,vampire,survival,allegory,portal,quest,obsession,galaxy,sacrifice,mystery,betrayal
Harry Potter and the Half-Blood Prince,0.03402847671629846,0.22103346058594947,0.09647996056720459,0.08541593201253388,0.16215469559856174,0.04495978177078819,0.12750707265766204,0.10025588089395732,0.15566998549231598,0.08025195029880475,0.04460508223973483,0.008122532975791933,0.19501576633626702,0.08943053971437698
Harry Potter and the Order of the Phoenix,0.09863842977212771,0.21639086680218464,0.08192559698626377,0.07244034454619133,0.15561823180877216,0.054383537553274325,0.11974317793070947,0.04594645903518929,0.11833763508855857,0.08252677536144429,0.076308547911432,0.045008648802295784,0.0964538342196775,0.09834950444786948
Harry Potter and the Sorcerer's Stone,0.07466001534431876,0.2564099655573603,0.02943986651245359,0.02670703434728707,0.14351273297022502,0.01713560098515881,0.17912416062291728,0.08952094671077278,0.08797240010439376,0.1015874638703643,0.08187546622526215,-0.012849324549009708,0.18697247391608068,0.08236349939526859
Harry Potter and the Prisoner of Azkaban,0.08729914434333984,0.1847326541346965,0.08310486171950753,0.07838881507606783,0.15098712167839784,0.07306391259715754,0.10066296881461216,0.07032065309722264,0.1200407976760248,0.07810275243984745,0.08785332106833878,0.013942550438433782,0.10497951530446464,0.09089315468961244
Harry Potter and the Goblet of Fire,0.09960324933295739,0.2337785225644381,0.06824357640338223,0.08093359618141877,0.1374664423114591,0.07126061263834474,0.11732772011965685,0.0960186904228302,0.15596570031333165,0.0836080648492526,0.07705662877800694,0.0538709702212199,0.11896264450507292,0.08320593309979304
"Harry Potter Boxed Set, Books 1-5",0.026102585764095257,0.2388711808240998,0.08694950153910538,0.09761800777753193,0.111171869598907,0.0493048349768717,0.11552309885209727,0.10379877403051756,0.1965627872603035,0.07024634919654735,0.14038749255339258,0.06319767993392504,0.1201856306371292,0.06162731031300825
Harry Potter Collection,0.027812629114077985,0.27851983544619235,0.09099593743372862,0.12767474232678702,0.10696011382160374,0.06436419575293491,0.12212812708022257,0.04234750358946466,0.15278894390395228,0.09213152479699303,0.09817424412223186,0.07213441752438562,0.1840633990449905,0.07173456713065372
The Hitchhiker’s Guide to the Galaxy,0.07149778845609651,0.039859659744766185,0.04461983175674396,0.06669604454544724,0.0763589080610583,0.11139821483140255,0.13814101716582483,0.09842366126705127,0.2052541275676437,0.07683141574952179,0.28610538396927776,0.04561002790899071,0.12672039672509033,0.10849868552579532
The Ultimate Hitchhiker’s Guide to the Galaxy,0.014269047820868434,0.03627965861450314,0.04435973526162638,0.042984030594700365,0.04602673122791712,0.14606840771498672,0.0823913328628703,0.05401044629307909,0.14273073485440663,0.022984343166131797,0.24311697460409093,0.028654164001779326,0.06924233849823315,0.04318902438499531
A Short History of Nearly Everything,0.08450038611631924,0.07338567087900927,0.04375544911435897,0.06177854286471102,0.05928424902036728,0.119604303029576,0.15015561902157715,0.11600069749457492,0.18312688245029904,0.11563834557758913,0.14994782901504228,0.03105339300802553,0.15923208825101903,0.07467443136046276
In a Sunburned Country,0.017562175413514396,0.0027584831176786532,0.054439780012321304,0.010449337732901982,0.07937144106240987,0.15825009702682769,0.017015800221553468,0.012730115290852924,0.050439745474627325,0.07837738305246209,0.10454769243615285,0.008882259830817214,0.0403100123948299,0.0718709106772529
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,0.14162666258841958,0.06724411703901305,0.04143758996334088,0.04231082408339744,0.07941248725856952,0.10800566285806956,0.09125566940916942,0.012050529255907166,0.09640742180857897,0.11096431553040659,0.0968165427584627,0.026479038133992956,0.12525753893246255,0.16974708435555608
The Lost Continent: Travels in Small-Town America,0.08922164095988772,0.0421637447937966,0.020811649436160717,0.0701089529630209,0.04736592857173515,0.07448581742755235,0.12192401610659857,0.0882552530887104,0.12734897062670691,0.08966677025222292,0.12885967340283153,0.016738562536789296,0.10877968257120323,0.11616426099404312
Neither Here nor There: Travels in Europe,0.03000972288513483,0.06557846190038144,0.03811958957104264,0.0688696959884282,0.06001623793595035,0.06382228081367299,0.1068078620543238,0.13528985683188463,0.07150546744450881,0.02707211692147006,0.08696268900873559,0.028185412008128363,0.10943872650091764,0.10461778948828007
Notes from a Small Island,0.09927875304459295,0.0298701765402748,0.024623372937481697,0.04110605267313014,0.031206830696697035,0.03743541905141758,0.0757554288582464,0.04985408245866553,0.0989806329742308,0.11128908558355155,0.08356879574479388,0.024068994362506042,0.06138121700809108,0.11139376733818838
The Mother Tongue: English and How It Got That Way,0.03335662512693234,0.07850317736023324,0.04349578688122903,0.03519573349921309,0.013440509810768787,0.05934211160043512,0.07943697679915793,0.085968709295572,0.08172297236353357,0.11226372719843172,0.04762243314262821,-0.004846597388154877,0.09267172584729497,0.07958287734985664
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,0.06241997812444786,0.19838919030414096,0.06594132574664527,0.13901847579018012,0.07186448405654222,0.06625285355645427,0.20847521956964787,0.07282592901117979,0.17414347093985252,0.07995872543665956,0.11441335328283228,0.08245291726999904,0.1364835855387365,0.07019772627417614
The Lord of the Rings,0.10415692211613559,0.2163110438096115,0.09610517241070032,0.14141341839102353,0.10012596413676508,0.10825922838768907,0.17977533521274558,0.09399235741624869,0.19208953654025923,0.16713585571246437,0.16133439496474763,0.08624739324219705,0.16039450971712438,0.12698938722228742
The Fellowship of the Ring,0.09514645848129238,0.1926575395166808,0.10067615277636092,0.13254925520148467,0.13094755702883631,0.11213885880690062,0.1537459925686201,0.08687484733442631,0.15961203915115746,0.1238626605192138,0.15221669397716345,0.08318375232279104,0.16239800604691337,0.13450957864523527
Hatchet,0.10988866366507467,0.03299520812898722,0.04880233919982776,0.08018127374832626,0.1298398025029609,0.2955516106866219,0.12540004333387922,0.09127678873999419,0.0918060628154146,0.0943291104422614,0.04967279545981387,0.17484912230593702,0.14038643270652282,0.1593526520931756
