,love,heartbreak,dreams,dance,night,freedom,revolution,soul,passion,mystery,magic,nostalgia,hope,fear,power
Killa Cam,0.08197843728263557,0.10313859726202719,0.09328204701558858,0.15847857683707792,0.1783948553912042,0.08502064541003586,0.0746218258688732,0.13984094986768622,0.0905392533897699,0.12421619706866141,0.11829867895125151,0.08474800480690696,0.12059563755236599,0.04699266115365626,0.10388085845711706
Can I Live,0.11732867648994928,0.14460910563915458,0.16004248774626134,0.1572726403142479,0.18738463215426532,0.09832274513008064,0.07792836548063795,0.17576391247329945,0.12178550632976315,0.13802773979383523,0.1304667275317551,0.09796176104946537,0.19208952214390182,0.09247637371828679,0.13121026574727823
Forgive Me Father,0.07398294397003263,0.11716640814511925,0.11701772292459948,0.17037835868103052,0.17082870458814461,0.0992369283347402,0.04489306183354891,0.127630575849436,0.11140708892473943,0.09129703632846672,0.10513717142678244,0.08728512897366783,0.15924506606431116,0.07817797451537802,0.13370825238824874
Down and Out,0.08476297399516436,0.12367669933669583,0.08270319236089407,0.15109450415486927,0.14986796784696194,0.09304092247114203,0.07862717655961238,0.1402460800709733,0.06446089501411845,0.10227891706288829,0.10421669260914687,0.05685753432758507,0.11812947206546284,0.04530566334023561,0.09673952128116829
Fly In,0.0750519658380655,0.1649180438938779,0.12680921588606123,0.11715256454826777,0.16083874896946201,0.08520405788345843,0.06619257656129973,0.10559023449673334,0.07596327601494852,0.09128920101566174,0.11117727959570464,0.10121217723127968,0.14172409749072848,0.07852473272835515,0.09376641386852691
Lollipop Remix,0.20797015100154714,0.1600214171828952,0.11106608364735623,0.17283222357996486,0.12501456123900512,0.060872474592199535,0.05594513080973691,0.12393561521406082,0.08783020806841976,0.09765761557490048,0.1089569185262702,0.09485752006928908,0.15577945293650777,0.05957766736497316,0.12346605219119214
Im Not You,0.11415310615097696,0.19194440719413677,0.12070328623290369,0.12005927943707202,0.11936724883929231,0.073390555567179,0.042054353745937106,0.16325003871375773,0.1182213193081475,0.128614423100052,0.1256336512783047,0.09289016002809643,0.15074625245505238,0.09801033007799878,0.1400947923027974
Family Ties,0.11803751207796385,0.1319377165311444,0.13892065514784352,0.19629144842314028,0.19116668036059353,0.08485365910851114,0.08636576787916818,0.12710959904620872,0.08883595267724667,0.08682483605713189,0.09719021653337674,0.10447227710293198,0.1503651345138869,0.059326937188743226,0.13225279571308052
Rockin and Rollin,0.1357121114859297,0.1145590295778058,0.12426907941029203,0.2009925466088809,0.21080626552890508,0.08099367566385876,0.03839836640624904,0.1271469198672538,0.10773903278012044,0.10239006909253758,0.11802607516652192,0.08400835058475146,0.14969605155754245,0.060692609923309465,0.10257827649640308
Lord You Know,0.0874587068543699,0.1389778302464852,0.14563409467469557,0.15626405430319393,0.18704827405212646,0.09641018924845315,0.10297642704408948,0.15265142125946163,0.08979297869307677,0.13268708574161883,0.1350782695363397,0.13154324894495867,0.2013044202955073,0.06472365802912591,0.13058544138517825
