,romance,horror,comedy,redemption,dystopia,betrayal,rebellion,mystery,criminal,sacrifice,survival,dark,illusion,conspiracy
The Dark Knight,0.07711659,0.223432196,0.188276612,0.149000338,0.190899692,0.153001689,0.148287618,0.165929108,0.182703532,0.089332694,0.159992066,0.184339785,0.162692935,0.12579153
12 Angry Men,0.045236757,0.1578498,0.115668426,0.194230637,0.113762071,0.233311012,0.173430032,0.226192401,0.246523053,0.201046539,0.210493171,0.101121052,0.237696465,0.190206954
Pulp Fiction,0.221069755,0.20192608,0.236907438,0.246638623,0.201632714,0.224737945,0.115346289,0.182754937,0.182367323,0.163289566,0.155468737,0.159497473,0.163128892,0.14374856
Schindler's List,0.056405723,0.131176273,0.076006496,0.153112171,0.166801753,0.14187353,0.046375016,0.104152961,0.124748769,0.157965668,0.159975894,0.109135365,0.124158833,0.163941591
Inception,0.112607844,0.130838237,0.102128644,0.203657036,0.215558145,0.288214386,0.158778375,0.23666309,0.28952269,0.141332378,0.113168619,0.153617334,0.332357243,0.296488162
Fight Club,0.207818904,0.178022473,0.247830376,0.158197214,0.187515479,0.160286923,0.166913274,0.184692634,0.183760102,0.106385869,0.141898584,0.231995502,0.184962773,0.184306157
The Lord of the Rings: The Fellowship of the Ring,0.111361578,0.147300461,0.127818364,0.156824057,0.168330048,0.152338116,0.146388343,0.126051523,0.075007746,0.113913137,0.085218517,0.189413465,0.130340836,0.139834067
Forrest Gump,0.145170535,0.023766326,0.137876974,0.138126509,0.105668465,0.129104877,0.087531681,0.175132368,0.130977353,0.033510906,0.127609704,0.101118079,0.168965036,0.169341646
"Il buono, il brutto, il cattivo",0.164251177,0.208606704,0.162487935,0.218189191,0.145845293,0.279836852,0.195171432,0.262277586,0.248560772,0.207609278,0.152861245,0.156924592,0.128355263,0.285732698
The Lord of the Rings: The Two Towers,0.100842838,0.188586519,0.095006549,0.185337183,0.205018888,0.188375348,0.150921142,0.11455259,0.077442197,0.150457992,0.140393629,0.198651778,0.159950952,0.158239044
The Matrix,0.167775111,0.191456298,0.135500303,0.241206822,0.395232114,0.329048804,0.220696761,0.28798371,0.251382339,0.118970523,0.112566106,0.225971267,0.330518449,0.290748728
Goodfellas,0.147205449,0.171490567,0.173313559,0.097075463,0.117919584,0.209651026,0.065656347,0.131115675,0.168668404,0.117583665,0.083891507,0.107987802,0.121387908,0.204864249
Star Wars: Episode V - The Empire Strikes Back,0.050771021,0.115252533,0.049957787,0.176742757,0.170963126,0.178926744,0.259967435,0.106845076,0.096724807,0.073719123,0.080012504,0.169272076,0.131871325,0.115416136
One Flew Over the Cuckoo's Nest,0.086846544,0.21708912,0.159605046,0.202122211,0.208277798,0.212889171,0.277799548,0.151937844,0.25347963,0.074648902,0.145181841,0.135377251,0.260841538,0.202863956
Hamilton,0.094585595,0.049253381,0.147078694,0.13935136,0.046189583,0.129110234,0.08350359,0.093312205,0.078814584,0.076945478,0.051313678,0.055882854,0.093702963,0.07346732
Gisaengchung,0.13501784,0.110114415,0.15618436,0.179916527,0.244863689,0.218655675,0.167300703,0.13474383,0.157744483,0.160553591,0.13795431,0.15498198,0.151145222,0.198143314
