,dystopia,science fiction fantasy,world war,romance,vampire,survival
The Hunger Games,0.7773811789624219,0.7639356278272675,0.7763887899172044,0.7524233527276121,0.7516903284870219,0.7929600360061074
Harry Potter and the Order of the Phoenix,0.7499686181378049,0.7675530132878784,0.7510817264665556,0.7432995950799375,0.7691361136928572,0.7299534624211059
To Kill a Mockingbird,0.738942058475532,0.7468685506642075,0.7505664736110863,0.769024977963485,0.7465878997434693,0.7401112575817274
Pride and Prejudice,0.7383617162125375,0.7599464007669278,0.7465228189464359,0.7969494596947639,0.7426997926193067,0.7288749097875021
Twilight,0.7337868074641276,0.7627054442376343,0.7458465333626432,0.784719540767122,0.83048500290529,0.7283302748014071
The Book Thief,0.7552162645259194,0.75477414668142,0.7630770813575215,0.7567997134357785,0.7567504308141609,0.7388584093852909
Animal Farm,0.7799518125558874,0.7697024793058498,0.7655593801818722,0.7556310162985848,0.740946764832207,0.7356961115170777
The Chronicles of Narnia,0.7307435179627291,0.798536995941943,0.7678180135667684,0.7493140006127892,0.7347055724570067,0.7146305222282494
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,0.720732910825661,0.7899973146837959,0.7528876823498255,0.7544853307649013,0.7264179982414802,0.7190998281472442
Gone with the Wind,0.760368781489802,0.7597234474583022,0.7583782439620983,0.7765170995798482,0.7386130222417476,0.7523802533237133
The Fault in Our Stars,0.7564593932123295,0.7641969757887034,0.73696689149059,0.7688953466947391,0.735572414648389,0.7426269046095706
The Hitchhiker's Guide to the Galaxy,0.7658460327739055,0.8040871534940613,0.7586700662288244,0.746119532561736,0.7366475552648647,0.7451615333022031
The Giving Tree,0.7317667494505176,0.7454425397030332,0.7361904154667472,0.7774554075354652,0.7466663202165534,0.7329904631356305
Wuthering Heights,0.7189834855399717,0.7175266346712846,0.7511982463383337,0.7520433812447022,0.7286609341224939,0.7216195609640812
The Da Vinci Code,0.7290422756368815,0.7714276112908608,0.7580000606530122,0.7728390643000366,0.7686450855995542,0.7287552598301265
Memoirs of a Geisha,0.7379998514628449,0.7697288061847894,0.746509213658575,0.7914472579901201,0.7423862480704236,0.7266242738231622
The Picture of Dorian Gray,0.7506531354123528,0.7434504258998202,0.7388294686538548,0.7621396477280464,0.7527711114069104,0.7179746464554077
Alice's Adventures in Wonderland & Through the Looking-Glass,0.7475545762678161,0.771963547594238,0.7593542703182908,0.7524720047076365,0.7478022632118075,0.7375490143415641
Jane Eyre,0.740044399008424,0.749979947657203,0.7215766204179176,0.7882174799240292,0.7624718009922989,0.7262261460853716
Les Misérables,0.7540185144574675,0.7732508566322979,0.7608444844227136,0.7844644665854322,0.7574267187585788,0.732449614925824
