,rebellion,sorcery,justice,romance,vampire,survival,allegory,portal,quest,obsession,galaxy,sacrifice,mystery,betrayal
The Hunger Games,0.7672040111047013,0.7406892501096795,0.7574559298513117,0.7524233527276121,0.7516903284870219,0.7929600360061074,0.7474739501523072,0.7274898769914231,0.7597822348599945,0.7448964330959759,0.74804007693922,0.7660819202176701,0.7515269078288742,0.7597831164673233
Harry Potter and the Order of the Phoenix,0.7323925585352515,0.781853278594373,0.7470232299333623,0.7432995950799375,0.7691361136928572,0.7299534624211059,0.7590001215345102,0.7489760924879637,0.759657551545265,0.7375559172581062,0.7280570407474143,0.7206714995072808,0.780114034820427,0.7452614034744033
To Kill a Mockingbird,0.7350160781515382,0.734384148372824,0.7667245074907328,0.769024977963485,0.7465878997434693,0.7401112575817274,0.7611275479310984,0.7284461952415194,0.7591417626198167,0.7236101246335443,0.7182410047270447,0.7403258096877835,0.7524699522881488,0.7515253448369871
Pride and Prejudice,0.762302226223874,0.7445199993333808,0.765569407145278,0.7969494596947639,0.7426997926193067,0.7288749097875021,0.7418270473148875,0.7243113251457408,0.7658442229127261,0.7524370895327206,0.7223541525771785,0.7243388538487401,0.7450063851389047,0.7459687500777848
Twilight,0.7216675060216121,0.7460918838033677,0.7360194316292968,0.784719540767122,0.83048500290529,0.7283302748014071,0.7383551245159587,0.70921457560096,0.7598512166738836,0.7567737327582481,0.713452041812936,0.7199653603840529,0.759831784701101,0.7412094952021356
The Book Thief,0.7542568519836491,0.7461658714597076,0.7516313866747264,0.7567997134357785,0.7567504308141609,0.7388584093852909,0.7583499918140615,0.7208979148198613,0.752976612795573,0.7323691556245948,0.7155012252270152,0.7384437441659039,0.751934983015229,0.7562950970267348
Animal Farm,0.7711853627521789,0.7470369935673911,0.7596788537796431,0.7556310162985848,0.740946764832207,0.7356961115170777,0.7858932445535124,0.7358764567698102,0.7458992553243802,0.7394219770065709,0.7329092867249067,0.7425897360005359,0.7420033191969555,0.7513693911513591
The Chronicles of Narnia,0.7250531783239866,0.7645512636672267,0.7279032528467749,0.7492659621493347,0.7346067961164109,0.7145884184200421,0.7744219954725486,0.7158258336432668,0.7458164302766935,0.7074941715501707,0.7284539313842736,0.7054902642972172,0.750215770998953,0.722002101832615
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,0.7250962972209024,0.7592974603965962,0.7272601117345029,0.7544853307649013,0.7264179982414802,0.7190998281472442,0.7624640318344211,0.721553222089034,0.752994592083207,0.7134918539384522,0.7479484942975617,0.7183098636798391,0.7484550107171453,0.7226009314058102
Gone with the Wind,0.7762988012679947,0.756339019723505,0.7678059681970656,0.7765170995798482,0.7386130222417476,0.7523802533237133,0.7564434570956644,0.7397631108992456,0.7739434495610171,0.7537537003511691,0.7461795676550645,0.7542739947587682,0.744073226376156,0.7602001771911239
The Fault in Our Stars,0.7283009724613536,0.7367696280666676,0.7587202860886237,0.7688953466947391,0.735572414648389,0.7426269046095706,0.7443380600348061,0.7305948129033555,0.755507336287305,0.746834174350733,0.7519138984520577,0.7154681505749877,0.746316433482687,0.7410498185078883
The Hitchhiker's Guide to the Galaxy,0.7360579148911357,0.7478838959396762,0.7602710870009853,0.746119532561736,0.7366475552648647,0.7451615333022031,0.7487635723072902,0.757589581350324,0.7677636086972093,0.727833005111874,0.7975218719090401,0.7208570682140333,0.7519614239626743,0.7417863318712252
The Giving Tree,0.7181050144023723,0.7412657001062446,0.7599685285053857,0.7774554075354652,0.7466663202165534,0.7329904631356305,0.7789915766092806,0.7278649189120221,0.7561907196818334,0.7451852412123017,0.7418606181663717,0.7411341889543898,0.7492973752219825,0.7489728396324546
Wuthering Heights,0.7185356105076717,0.711288869124188,0.7267414530135793,0.7520433812447022,0.7286609341224939,0.7216195609640812,0.725731895484203,0.7286932766847,0.7504175760275414,0.7265914952411167,0.6954981434342754,0.7032726305082672,0.7343745688924324,0.7224685677711454
The Da Vinci Code,0.73607599341711,0.7767981113756094,0.7441188955832021,0.7728390643000366,0.7686450855995542,0.7287552598301265,0.7779542214959625,0.7498191983612925,0.7601464580454992,0.7438865219563907,0.7414649175598779,0.7468079627156756,0.7949852017006399,0.7423757253691743
Memoirs of a Geisha,0.7394712843669398,0.7540279940203947,0.7506532950352318,0.7914472579901201,0.7423862480704236,0.7266242738231622,0.762424630743755,0.7245032848112207,0.7579061719326121,0.7582690440279765,0.7344403912673199,0.7326904547997941,0.7665369968321595,0.7595200476907914
The Picture of Dorian Gray,0.7262592879973764,0.7559166129882645,0.742685109413956,0.7621396477280464,0.7527711114069104,0.7179746464554077,0.7548134425510005,0.7309002143374298,0.7489949265592525,0.7384706085959392,0.7122521581084806,0.7372341122565185,0.7423361177033289,0.7385587572800963
Alice's Adventures in Wonderland & Through the Looking-Glass,0.7576068109563123,0.7591221267512767,0.7529069641212728,0.7524720047076365,0.7478022632118075,0.7375490143415641,0.7891574728493981,0.7409189427643861,0.773666685302292,0.7435463838793744,0.7346475855515354,0.7380191184021606,0.777878368088645,0.7520048825685612
Jane Eyre,0.7337857079491065,0.738256238205608,0.7445105645534605,0.7882174799240292,0.7624718009922989,0.7262261460853716,0.7491533326426372,0.7346751124782191,0.7632449121475482,0.7434642028837583,0.7026039977997453,0.7289780783913169,0.7603314711864556,0.7572880289753346
Les Misérables,0.7750675811906851,0.7550307952498053,0.7676009666061685,0.7844644665854322,0.7574267187585788,0.732449614925824,0.7721439143968507,0.7299255603678042,0.7579301517747943,0.7412361285404904,0.7382521960861584,0.7527032755088177,0.7605355343433411,0.763687057960355
