,romance,horror,comedy,redemption,dystopia,betrayal,rebellion,mystery,criminal,sacrifice,survival,dark,illusion,conspiracy
The Shawshank Redemption,0.8049700547401034,0.7667115338730777,0.7913464171898151,0.8328869589302892,0.7570104865365443,0.7857832032320123,0.7844469823898396,0.7646011268369888,0.8096018194993494,0.7687049237707261,0.7635996429171978,0.7597743727644158,0.7911905102003444,0.7739608599002692
The Godfather,0.7830128994919674,0.765470824413443,0.7671844411109748,0.7781075398912699,0.771087544397098,0.794841342952466,0.7921952563308753,0.7732130797011373,0.789828970322554,0.7560749808007798,0.7455922703855592,0.764555870680524,0.784412205331128,0.8003513881239948
The Dark Knight,0.765506515558539,0.7763071368569863,0.7695586550245059,0.7640668652532856,0.7615650527723249,0.7634809724612411,0.753984182354127,0.7720962700205501,0.7786725789570661,0.752531672337058,0.7488990779625023,0.7670063450760518,0.7816991742978441,0.750630816292705
The Godfather: Part II,0.773183830493252,0.7592655883237662,0.7663450401555215,0.7581096824827539,0.7397322676540141,0.7574714112587679,0.7478399275273908,0.7546153227129905,0.7786694922154777,0.7294330950655067,0.7340544637053026,0.7427728082500927,0.7703723687346912,0.7577293043350819
12 Angry Men,0.7393554822301969,0.7471108047412727,0.7519225811868306,0.7776806475390248,0.7559788839832233,0.7830180115962904,0.7902710757898675,0.7653873430921396,0.8046258267265958,0.7677906589661088,0.7549127096722571,0.7427705064368949,0.7893234910763833,0.8003498398516313
The Lord of the Rings: The Return of the King,0.7653897260089899,0.7486631249791086,0.75400426382867,0.7643430112340874,0.7589563970062029,0.762966690688029,0.7669748613760657,0.7563364144694484,0.7450530734845899,0.7654559356878624,0.745719990247793,0.7554606422076788,0.7799346526400953,0.7694044594479453
Pulp Fiction,0.7943241319812744,0.7783844086712525,0.7945509118662609,0.8006046931922597,0.7607761903077772,0.774976032948521,0.775473674414106,0.7683190398324857,0.7764453717029527,0.7402753160901603,0.7569410513018121,0.7509698309317582,0.7731784558724076,0.7686078989010089
Schindler's List,0.7496644490448025,0.7571668753065505,0.7349519562419169,0.7567565027775418,0.7501087611816142,0.7621323377475364,0.7508901042877054,0.7421398177964763,0.7670192937482574,0.7549090609450847,0.7557267246012191,0.7495113417833118,0.7617047761360314,0.7638705093223834
Inception,0.7624656417916417,0.7593729938610989,0.7541565759630774,0.7730747428718604,0.7780025669642406,0.7853969393078731,0.7562312421547188,0.7658831651086873,0.7786670597721415,0.7348213553560157,0.7357811075626569,0.754321309693641,0.801808142765993,0.8073176370570259
Fight Club,0.7988080915642882,0.801034225879674,0.8038715092463798,0.7731644715816227,0.7807068727812162,0.7729452268040151,0.7878001731873029,0.7803737278184225,0.7850974578147227,0.7515897870814559,0.7591763744094431,0.7826306277347088,0.7975115054187749,0.7895878943139056
The Lord of the Rings: The Fellowship of the Ring,0.7695217883001326,0.7570664763428391,0.7645300190578027,0.7721014980842885,0.7663944181880057,0.7579886309018921,0.7669836444321714,0.7612374505116294,0.7462723550089593,0.7677782678094426,0.7560006919307214,0.7662182971826862,0.7720262088187317,0.7671899116017477
Forrest Gump,0.7817408395552802,0.7561842733580301,0.7698106720279347,0.7719537938564094,0.7588460812994944,0.7691383566544319,0.7663416134190546,0.7678489588239391,0.7590312218740435,0.7373502129273739,0.7493359351748803,0.7397489035520513,0.7906934468707647,0.7772335766079221
"Il buono, il brutto, il cattivo",0.7838627720692877,0.794270220534481,0.7812799413655659,0.7910605206783592,0.7703350866298834,0.7893690712474031,0.7760647763302848,0.7977537958495493,0.7803323288017658,0.7538722548268787,0.7725276765990394,0.7663803943255871,0.7869085741280467,0.7923899393837363
The Lord of the Rings: The Two Towers,0.7643418152762397,0.7524199444314369,0.7507448357232963,0.7562583154484472,0.7518461271927689,0.7641367923079028,0.763825572255763,0.7626462285362117,0.7457153684698786,0.7505406286293144,0.7522587227769878,0.7566796315671878,0.7703431949914066,0.7670876139966599
The Matrix,0.7845447482243453,0.7830368306390026,0.7643508210591172,0.7792220260380577,0.7847983311374599,0.7798781081485721,0.7633763570804897,0.786556725880407,0.771331395170102,0.736633263607679,0.7431579420232343,0.7797047534578905,0.7968286375506285,0.792331995485441
Goodfellas,0.7719823267486393,0.7641423135598198,0.7667843962595899,0.7443057922204779,0.7210442498520093,0.771245156372055,0.7502913203220882,0.7541065105352884,0.7736734640642211,0.7149032451915837,0.7286266313113506,0.7342606076753176,0.7611378287777912,0.7710509250560541
Star Wars: Episode V - The Empire Strikes Back,0.7493832962043282,0.7468771401078546,0.7405472661353859,0.7717377813243576,0.7527992856549883,0.7559905209303319,0.794085496808178,0.741130975066145,0.7412350242103422,0.7254608933131852,0.7478249878962842,0.7511352344719474,0.7631576782169813,0.7501924666693296
One Flew Over the Cuckoo's Nest,0.7691843953861879,0.7916289089371241,0.7697077147256627,0.7779302903489637,0.7765461146942217,0.7672059337138992,0.8140643715942769,0.7584706974060088,0.8147639220467895,0.7391957802003405,0.7463439466368333,0.7554493780793395,0.788319973970356,0.7874033019616729
Hamilton,0.749092088000219,0.7353385931456222,0.7571434092831058,0.7525718358518055,0.7195838157236152,0.7289223161944322,0.7358133206739993,0.7364566562410656,0.7324919042523842,0.7252412086861185,0.7203657196182454,0.7277196594096101,0.7608688096865127,0.7314013387132147
Gisaengchung,0.7762980348548404,0.7660104698891261,0.7666574342432603,0.774051168211301,0.7824702542697668,0.7824205847053878,0.7733006292335544,0.760478780758938,0.7624842681625635,0.7494622329952316,0.7647844997519091,0.7499551120312703,0.7735368629002874,0.7775050752908851
