File Name,Phrase 1,Phrase 2,Similarity
File: Bat.txt,,,
,a bat flew out of the cave,he hit the baseball with a bat,0.878713471
,a bat flew out of the cave,she didnt bat an eye at the shocking news,0.786714646
,a bat flew out of the cave,hes been in a batting slump lately,0.825902257
,a bat flew out of the cave,the cricket player swung the bat confidently,0.852372419
,a bat flew out of the cave,the team is at bat in this inning,0.843045039
,a bat flew out of the cave,his joke was a bat at my intelligence,0.841066507
,a bat flew out of the cave,the old house had bats in the attic,0.880996939
,a bat flew out of the cave,he went to bat for his friend during the argument,0.832990054
,he hit the baseball with a bat,she didnt bat an eye at the shocking news,0.785481732
,he hit the baseball with a bat,hes been in a batting slump lately,0.865598211
,he hit the baseball with a bat,the cricket player swung the bat confidently,0.887323079
,he hit the baseball with a bat,the vampire turned into a bat,0.859263904
,he hit the baseball with a bat,the team is at bat in this inning,0.863778529
,he hit the baseball with a bat,his joke was a bat at my intelligence,0.845051391
,he hit the baseball with a bat,the old house had bats in the attic,0.822692909
,he hit the baseball with a bat,he went to bat for his friend during the argument,0.85814652
,she didnt bat an eye at the shocking news,hes been in a batting slump lately,0.764191241
,she didnt bat an eye at the shocking news,the cricket player swung the bat confidently,0.786198765
,she didnt bat an eye at the shocking news,the vampire turned into a bat,0.78816796
,she didnt bat an eye at the shocking news,the team is at bat in this inning,0.749892566
,she didnt bat an eye at the shocking news,his joke was a bat at my intelligence,0.773832745
,she didnt bat an eye at the shocking news,the old house had bats in the attic,0.777462845
,she didnt bat an eye at the shocking news,he went to bat for his friend during the argument,0.8070888
,hes been in a batting slump lately,the cricket player swung the bat confidently,0.857350246
,hes been in a batting slump lately,the vampire turned into a bat,0.810007763
,hes been in a batting slump lately,the team is at bat in this inning,0.857931612
,hes been in a batting slump lately,his joke was a bat at my intelligence,0.811825321
,hes been in a batting slump lately,the old house had bats in the attic,0.790935502
,hes been in a batting slump lately,he went to bat for his friend during the argument,0.823574992
,the cricket player swung the bat confidently,the vampire turned into a bat,0.812802983
,the cricket player swung the bat confidently,the team is at bat in this inning,0.845704745
,the cricket player swung the bat confidently,his joke was a bat at my intelligence,0.81424777
,the cricket player swung the bat confidently,the old house had bats in the attic,0.790833195
,the cricket player swung the bat confidently,he went to bat for his friend during the argument,0.827955627
,the vampire turned into a bat,a bat flew out of the cave,0.898470077
,the vampire turned into a bat,the team is at bat in this inning,0.802845988
,the vampire turned into a bat,his joke was a bat at my intelligence,0.840935307
,the vampire turned into a bat,the old house had bats in the attic,0.857363551
,the vampire turned into a bat,he went to bat for his friend during the argument,0.830534165
,the team is at bat in this inning,his joke was a bat at my intelligence,0.782586722
,the team is at bat in this inning,the old house had bats in the attic,0.804401143
,the team is at bat in this inning,he went to bat for his friend during the argument,0.812146844
,his joke was a bat at my intelligence,the old house had bats in the attic,0.814627939
,his joke was a bat at my intelligence,he went to bat for his friend during the argument,0.836756925
,the old house had bats in the attic,he went to bat for his friend during the argument,0.803722926
,,,
,,,
,,,
File: Break.txt,,,
,i dont want to break my phone,lets take a break before we continue,0.798694631
,i dont want to break my phone,the police finally broke the case,0.775267891
,i dont want to break my phone,she broke into tears,0.785128355
,i dont want to break my phone,the clouds broke revealing the sun,0.762656138
,i dont want to break my phone,the stock market broke a new record,0.751174074
,i dont want to break my phone,he broke the silence with a joke,0.776803902
,i dont want to break my phone,the prisoner broke out of jail,0.775688905
,i dont want to break my phone,he broke the law and was arrested,0.77104076
,i dont want to break my phone,the news broke early this morning,0.75606753
,lets take a break before we continue,the police finally broke the case,0.783544552
,lets take a break before we continue,she broke into tears,0.778436628
,lets take a break before we continue,the clouds broke revealing the sun,0.786427887
,lets take a break before we continue,the stock market broke a new record,0.754394349
,lets take a break before we continue,he broke the silence with a joke,0.790151161
,lets take a break before we continue,the prisoner broke out of jail,0.782906885
,lets take a break before we continue,he broke the law and was arrested,0.761284381
,lets take a break before we continue,the news broke early this morning,0.778346471
,the police finally broke the case,she broke into tears,0.822652847
,the police finally broke the case,the clouds broke revealing the sun,0.809071463
,the police finally broke the case,the stock market broke a new record,0.792603188
,the police finally broke the case,he broke the silence with a joke,0.809995104
,the police finally broke the case,the prisoner broke out of jail,0.857229048
