,algorithm,neural network,training,dataset,prediction,classification,regression,clustering,overfitting,gradient descent
iterate,0.8233958760214865,0.7539912343404943,0.8088705876601536,0.8169113296430015,0.793248167895492,0.7907982917850608,0.7719170000328649,0.7787195917400279,0.7427273402435299,0.7733689185817544
filter,0.8236533120811793,0.7503745627177132,0.804882085849196,0.804685026426329,0.7909792179246916,0.8153984982277428,0.7667469883812692,0.7779043289903286,0.7574964171951971,0.7600036468604116
label,0.8076466216733209,0.7646763890799241,0.8280025152774076,0.8327981856647838,0.8048355066598454,0.863145806743881,0.7724482173440502,0.7916256569189125,0.7555963223621142,0.7570632875873476
generalize,0.7916976919355911,0.7763444883833924,0.7876039153134878,0.7822912337910378,0.7724941117072197,0.7883911762449158,0.8136543469232166,0.7972226344428484,0.8174885712027238,0.7813247772427742
refine,0.8018695470482096,0.758546590929789,0.796631201765235,0.7825399165538693,0.7700084141640577,0.782108384140353,0.8055571018937833,0.7936518525196875,0.7773019326875092,0.7713347313469752
circuit,0.8080788160086539,0.8262223591197412,0.8116053489132055,0.7978519617667122,0.7832213873243612,0.8014547747187684,0.7824765788172374,0.7913155105170576,0.7779370396829408,0.7594364530925006
spectrum,0.8045194240050525,0.7846580313258272,0.7942618337936261,0.8096747851745542,0.7992310445324909,0.8009746184371014,0.8087391964984723,0.814792644806789,0.7630606449785928,0.7884975380504657
archive,0.8366685252369069,0.7695116665240987,0.8303503189921603,0.8644131635403899,0.8042735836498983,0.8230887016595904,0.7976132867408509,0.8010630905300065,0.7557010724551413,0.762596237125257
threshold,0.8201590483711104,0.7733440559915817,0.8264678725577356,0.8102479818062757,0.8219538329678286,0.8143997229334518,0.7964237759153608,0.8079292673544197,0.7760630056681185,0.7861041439162766
structure,0.8261303253651858,0.7763740086678378,0.8277781579168287,0.8270128383639808,0.7961454650694239,0.816843382425932,0.7734758126666021,0.7963981215930255,0.7550360882564964,0.75066049231387
