,political,economic,sociological,technological,legal,environmental
tariffs,0.7964323179304722,0.8235462935824804,0.7716703104687678,0.7757559527704944,0.7794894012873226,0.7792630250335566
automation,0.8109346042112693,0.8219164136147024,0.7741440123685475,0.8159267921790415,0.7906357487883879,0.7909149361948672
recession,0.7942478348176013,0.8544265142687889,0.788000672146008,0.7838049629478789,0.7614660292644647,0.7867974579053368
demographics,0.8210773646005134,0.8274027263929373,0.8368048267960306,0.7988794573682217,0.767395990764332,0.8109731918034967
instability,0.7906835042195433,0.7945764260783084,0.7822678338229745,0.7665670942681889,0.7581877416021923,0.7742194487198322
privacy,0.8669767852465277,0.8397086579156283,0.8063743216119339,0.7849028688997832,0.8304935226341645,0.8079202912017414
regulation,0.8186981651202508,0.8290704519598413,0.8012477616888187,0.7916584262649602,0.8122299572333737,0.8028579552105212
trends,0.7972564521208536,0.8071255412396855,0.8026929279921864,0.7993655145764054,0.769668708982782,0.7903626879509544
policy,0.909882957933513,0.8648156872589298,0.7951294620773105,0.7809146679814079,0.8353487131398964,0.7943716866781547
spending,0.8057460856798092,0.8326107933419221,0.7765058483927121,0.7783673978724065,0.7601501171049533,0.7872133907707451
trade tariffs,0.8067921979380119,0.827360505347204,0.7615003416824417,0.7714494363488935,0.7799445773458259,0.7806095529347429
renewable energy,0.7819267885604871,0.8124615470134818,0.7600444276807087,0.8016279025011219,0.7662762344262772,0.8191112242050193
intellectual property,0.7984919936586129,0.8056131912151392,0.7821454217488338,0.8083274534090663,0.808437505329633,0.7845727445470388
cultural values,0.7718045758374938,0.7844368940182551,0.8244282682345323,0.7849462462992461,0.7443730308776324,0.7855333991835228
tech infrastructure,0.7816653619652224,0.7849644145154826,0.7649031484281477,0.8429598888256274,0.7576853171203547,0.7777692324382426
