,drill,soulful hiphop,emo rap,midwest,cloud rap
Killa Cam,0.1508913535101394,0.307842059810792,0.30747002077910945,0.0673347377863285,0.2759466951988217
Can I Live,0.10228938100854301,0.34780008323612105,0.358078341179665,0.10309555173419137,0.2586375352166283
Forgive Me Father,0.17817561512847316,0.34183699393875144,0.3247576400330125,0.09472582422104338,0.25804138028921025
Down and Out,0.11673172069589567,0.3310164057446297,0.3095469044544821,0.1858921649578606,0.27542704348485847
Fly In,0.10608030289701574,0.30067751446870483,0.2945756738935878,0.08217268378705088,0.27261783992499267
Lollipop Remix,0.11207773251745115,0.30631988615226396,0.31498070043447063,0.11426895756091741,0.22512969195767618
Im Not You,0.09667507190503664,0.36364132963437623,0.33223545895910883,0.09579279471661456,0.257126494914355
Family Ties,0.14334408378825847,0.31025573287438873,0.3132251578454872,0.08850193605358948,0.2521028824003028
Rockin and Rollin,0.11968887871315927,0.29362856975610596,0.2964341494302382,0.09092958784514296,0.22579732016641155
Lord You Know,0.09501393135471294,0.3311146203654199,0.31896992201492536,0.1018328297503385,0.27142993401016735
Money On My Mind,0.14649214091645954,0.2944786379995337,0.2812565327642605,0.09232170275257301,0.2064371144103373
Think Yall Know,0.11784923290814305,0.3415276784363117,0.2832702524542206,0.08475970645800031,0.24544344569041984
DEvils,0.10667762485959138,0.3598584726254678,0.3145340960809805,0.06136607303174295,0.2322196999438442
December 4th,0.05769217723550998,0.35843761980558025,0.31225700055022676,0.059847564247855645,0.2875586818142371
98 Freestyle,0.1162459202378436,0.2930101486172587,0.30834975112747315,0.07595654798016951,0.2328658064285122
What Happened to That Boy?,0.15254607100138917,0.32526096607227356,0.29701757810106866,0.08340794085244459,0.2829306884220733
Its Hot Some Like It Hot,0.17541620273725092,0.3685153494680642,0.3203292415886944,0.07238850635468952,0.2826747589415351
Losing Weight Pt. 2,0.11549619318262654,0.31698595755399933,0.30863355570506773,0.08229245952137006,0.2756590236181509
Its Like That,0.16491863060106918,0.3828421535724485,0.3612593651653143,0.08855283859003693,0.3264506781628797
More Gangsta Music,0.11162466067334995,0.33106998006385924,0.33166519560018926,0.09215044796235528,0.2636509930221369
