,political,economic,sociological,technological,legal and environmental
Harry Potter and the Half-Blood Prince,0.0462602681481399,0.023401644176611808,0.050560010192683136,0.006689605883741895,0.04784981894476488
Harry Potter and the Order of the Phoenix,0.08935046017136501,0.0448231309887184,0.11480822968525085,0.03477120798492172,0.04547795076858511
Harry Potter and the Sorcerer's Stone,0.027804468996496776,0.014194432509383867,0.05953010555306216,-0.012503231922156582,-0.01130336527886151
Harry Potter and the Prisoner of Azkaban,0.06809892732974258,0.02220784664514554,0.10150278826866158,0.008498422354615499,0.0775199718209153
Harry Potter and the Goblet of Fire,0.08461782814692491,0.03213680335783029,0.054433033686922774,0.06291011584367218,0.0906002533822164
"Harry Potter Boxed Set, Books 1-5",0.05110199087662862,0.04787107559101228,0.05118087280772911,-0.014667439193852992,0.037705002932957817
Harry Potter Collection,0.038728730817172194,0.014588184379600562,0.020877290400692514,-0.016775177430736508,0.02367926304818184
The Hitchhiker’s Guide to the Galaxy,0.05173521444329151,0.02127036563515388,0.09404837418402665,0.08234077098642678,0.04457139846299705
The Ultimate Hitchhiker’s Guide to the Galaxy,0.013176502253365351,0.019778113736565826,0.06503345576933596,0.0054371280444027795,0.05819853863363164
A Short History of Nearly Everything,0.06638176501825536,0.11241047100853413,0.1744731669856999,0.08846500892574033,0.043697062872772814
In a Sunburned Country,0.01490915009870577,0.06471746669113211,0.07358730510472634,0.017613954169211667,0.09903816354928197
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,0.05780068998616105,0.05794718383849271,0.10700607099006966,0.061885116444255615,0.03442250303901581
The Lost Continent: Travels in Small-Town America,0.04684253289257627,0.07257816163649099,0.1316016849994362,0.051435421142945505,0.0387494967725057
Neither Here nor There: Travels in Europe,0.05197162552207765,0.10319550522631872,0.12447594899546947,0.05946249006509759,0.05567160704108028
Notes from a Small Island,0.05248469598875641,0.025349874819775516,0.08472848943444898,0.01633899533169366,0.022644924739876192
The Mother Tongue: English and How It Got That Way,0.03863745059597637,0.023710711070416567,0.11251731053726902,0.05421248275821074,0.03138360306685892
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,0.056206348929522545,0.029723332253930763,0.04902456219741005,0.019934532540418312,0.05906129096646313
The Lord of the Rings,0.07835740229757604,0.037651324874069,0.09380736460104894,0.017362009335261854,0.06519271967654035
The Fellowship of the Ring,0.051940075370849444,0.06565780878433554,0.07332710452940754,0.018381558402396005,0.06490451909659217
Hatchet,0.02986760152910493,0.03222689328265971,0.01782504107621158,0.03829625985486971,0.09838663587871413
