,journey,conflict,secret,destiny,reveal,pursuit,challenge,alliance,betrayal,transformation,discovery,survival,legacy,encounter,redemption
The Shawshank Redemption,0.1617465631959455,0.11805154688652604,0.12460631665711394,0.14830957974294037,0.07036817620415078,0.11770114832481154,0.12015499414922749,0.16588574000819004,0.2315410698028967,0.14093987383277384,0.15742058082838073,0.17996491382098714,0.17252239891659032,0.14760572168811523,0.35261461077228223
The Godfather,0.12616847988520852,0.1968346647314259,0.20717076752616356,0.19028138432958627,0.17690106555271445,0.12495281086810538,0.15847146172998125,0.16385464872027686,0.23985738908031543,0.18257623562441602,0.1035221578141232,0.11535339476864945,0.2733610510407801,0.07065383821656097,0.1859791772801364
The Dark Knight,0.11408706071826503,0.18975255996003856,0.06909661782130627,0.16863335444791655,0.11762907945220547,0.1333572484131037,0.2894431765476386,0.12925563964658204,0.15300168876158837,0.1817916910672265,0.0977013772632388,0.1599920660723431,0.07402084635218202,0.1758709485442937,0.14900033791974424
The Godfather: Part II,0.0738641316642927,0.07409167086420973,0.05982980075472111,0.10760475237808498,0.07192664393304415,0.05530545736541432,0.06813810757865235,0.0379359099823232,0.1193590726782973,0.05719013732013929,0.08920882324433456,0.06914407467429798,0.19543013147395458,0.03189464832732044,0.09283222596979085
12 Angry Men,0.15054519406197142,0.18935662892131058,0.1776078949185414,0.10594710713069233,0.1782721623376924,0.2515424733382104,0.21206504707467075,0.11386531969674316,0.2333110124021581,0.06638096817083643,0.09564358818842682,0.2104931709226828,0.159235652502189,0.13177990695142972,0.19423063747879238
The Lord of the Rings: The Return of the King,0.13741449356616559,0.12093712470689719,0.09056968604618745,0.2002350213972741,0.09448230714871783,0.16356128583452992,0.09316589528875202,0.2034610127035621,0.13250477700192972,0.08664545329439594,0.09900844549860957,0.072939724787017,0.1108111238317925,0.12675682733832816,0.1549446976132642
Pulp Fiction,0.16645157167875663,0.19522549467881556,0.10118292081443665,0.18638253537814253,0.11755518820796562,0.09977025067350642,0.13748295620958814,0.1617253939977553,0.22473794453767304,0.1472318666483127,0.06308872954754535,0.1554687374037199,0.17504358962028255,0.1600868443829115,0.24663862270662726
Schindler's List,0.08015300325892664,0.1279987190670532,0.12626894832351762,0.08313419931762855,0.10476783865634433,0.11107651030395092,0.12734519809345127,0.13454820094352624,0.14187352968311437,0.09915161180325878,0.14461993266815876,0.1599758938318194,0.08800671324309793,0.1255729276900098,0.1531121711368558
Inception,0.147188877549111,0.11936875314840481,0.30278164027160587,0.127625036753852,0.2411192793040148,0.19388645488437778,0.24533629478725436,0.16634676237493204,0.28821438603499405,0.2173657770271195,0.21350958490580446,0.11316861894812165,0.13803788625565439,0.16367460299250577,0.20365703588930534
Fight Club,0.15971523301496554,0.16614830455702165,0.15038889237796801,0.1505530735969296,0.143323685496953,0.13643900234336992,0.17072630772682412,0.21811437949149923,0.16028692337099515,0.13657466258312387,0.16888885864470726,0.14189858427630359,0.08701954699269271,0.2036581312002184,0.1581972141069894
The Lord of the Rings: The Fellowship of the Ring,0.30031510379836357,0.07696771286373395,0.14443735034029642,0.19634888281459142,0.10053233916251682,0.1936560241611175,0.12352207917032101,0.23209397303677298,0.15232001111840776,0.13215141420572912,0.11758181207668268,0.08524651521527353,0.11527673669760496,0.14520411448223622,0.15680848868922648
Forrest Gump,0.16161634537047298,0.10699748095686058,0.17587844913516193,0.13604681640028174,0.13591278952234215,0.113947039134444,0.1411807547057479,0.08045290582169097,0.12910487656056266,0.10478559943040552,0.11019403796307789,0.12760970433106308,0.18129952291011478,0.1305371513428474,0.13812650939966367
