,love,heartbreak,dreams,dance,night,freedom,revolution,soul,passion,mystery,magic,nostalgia,hope,fear,power
"Say It, Just Say It",0.2430773840570419,0.20457060533514468,0.20247429695510863,0.22688184035284809,0.19240796829429863,0.14330919927784688,0.15586871533677843,0.20021417774093486,0.20122954380145208,0.13410826675624019,0.20915158898227032,0.118394655589421,0.2094294725883789,0.1408462898195628,0.21506793402293795
Drinking from the Bottle (feat. Tinie Tempah),0.10093401114527727,0.14915603036408304,0.14970969137667736,0.19048524546999904,0.20898687604485625,0.09407182337168585,0.06885144339660129,0.1170396063782888,0.14201542918957918,0.05532360288201293,0.14120015273843706,0.0917666332723602,0.11228982798816341,0.09750222056991571,0.0883699300475366
Born To Die,0.2258056602276951,0.28837554727022285,0.23041041098386558,0.2399099541692713,0.258519547268053,0.17107981609767978,0.15683603097965093,0.205014972807691,0.20238456697681134,0.1684740298806046,0.1577261743023347,0.09575591438856992,0.19125676322618737,0.17119321768550008,0.14316776917096702
Off To The Races,0.17503211046929137,0.16811238729232572,0.2326747109756141,0.3214830416740084,0.2982358315848856,0.16507071845286703,0.18315436339645477,0.12177093128780617,0.20274135741305177,0.14604443767651148,0.21758275116344866,0.12272910549462132,0.22390179976333696,0.1253644996519651,0.12249026148008078
Half Mast,0.14104989762175826,0.19737601799161683,0.17514960399294185,0.18937096691316965,0.2361802908975072,0.21090702846925674,0.20303739690104863,0.0719257363250203,0.16017894280835968,0.19537546173260034,0.21722622456004181,0.1288931191805776,0.193278537832219,0.15953886185461877,0.19919258738975412
Impossible,0.22440124861923233,0.21225542256074162,0.24192684255132063,0.19145543299760218,0.2519466281942439,0.17225401359148487,0.25447386518826565,0.1461879580708984,0.17926870201358555,0.2834965417908509,0.3615547038211183,0.14464511854138143,0.3655694819655958,0.18561328866327007,0.24378680475737546
We Own The Sky,0.19712704662720557,0.1763767161479048,0.24049886822819394,0.1853199750655134,0.22658159163326957,0.21924508280229799,0.1680464920899414,0.23504144841202557,0.1433750430153162,0.13012237903113072,0.21450744351381154,0.12492993606956088,0.17014663031304386,0.12597726419428626,0.23799813523269414
Higher Ground - Remastered 2003,0.10926489232248605,0.17836057910835995,0.14582363914168123,0.16716967198133295,0.19185902164837573,0.1211883019929094,0.15949138343620453,0.1569151685322432,0.07953157218410031,0.10807603149039348,0.12867233504107686,0.18315271891490179,0.12122293297146772,0.06897668194888175,0.13504627037366496
Happy Up Here,0.21375205346962461,0.22836834926779498,0.22343088923812476,0.2312921708701583,0.25148743692730136,0.14726777998709786,0.14313785547028224,0.13871729704837782,0.11399944810427727,0.188281317329257,0.19163231610807005,0.17950805634056027,0.2877604200805786,0.08235375317268338,0.13774212148305376
Phantom,0.20575538485801584,0.2054991117380626,0.3330813844142072,0.243261349544347,0.3470903620253669,0.21492479243066367,0.2059498485052394,0.26807366597762494,0.26674948931235976,0.3658302508627291,0.344481111616131,0.22372114124899997,0.26798313976678045,0.33644856384985405,0.2779156924901932
Sun - Gildas Kitsunй Club Night Short Remix,0.14724339989564544,0.17156918469798704,0.20615558649945298,0.21588339632953762,0.31471784386752305,0.0765269772615746,0.093870174520587,0.2015956815654195,0.136022326380039,0.1123194028641691,0.15950338023764396,0.1296791263279746,0.11209144933675386,0.06505799205489168,0.09015876756376874
Midnight City,0.12059186402152729,0.1981452675249469,0.22065555792700647,0.13386449392010463,0.3949693581603485,0.11318452446428315,0.15350749840098452,0.18943869726160908,0.07121844318153418,0.20190141133151063,0.1948154804417492,0.1472509602050597,0.12530020023468907,0.09118353489756736,0.11911731187294618
Heaven,0.32386234409182013,0.24717421611039334,0.3366918799723646,0.20850002048159205,0.29620910691813357,0.3114957573137944,0.16396809068607124,0.385465813568319,0.26406945081073824,0.24305094954731335,0.24762688366415905,0.1604419993168163,0.3393569750570137,0.2376055467269742,0.21252938750608352
Do I Wanna Know?,0.14282568109489796,0.12844513283109144,0.13929446975001333,0.16530132899613137,0.16369826648487493,0.1189222860961018,0.06538038757542669,0.15997580116696392,0.1486625113700605,0.21018216892448058,0.11207318440660077,0.13451358446266565,0.1375921484331853,0.17692609853424734,0.1321185809587201
Time to Pretend,0.20292880095436908,0.18870338374213125,0.2801182169413806,0.26230955444871806,0.3030489540681506,0.15378133039542255,0.17260936753560754,0.1405643101678837,0.1695188523681246,0.18227656295404637,0.28908987894969407,0.21645029964935578,0.24463392270190507,0.1602470629067056,0.18060794144378267
Weekend Wars,0.1514204969943458,0.19677688355602724,0.26327677834992935,0.16416962623471176,0.318907759136945,0.1271803867614627,0.24116987315873856,0.07655662544596827,0.17087757707814133,0.16482446765126765,0.20886433704468718,0.20400211720685127,0.10153926872754028,0.12260298920319178,0.21010546070326766
The Youth,0.23346759228576253,0.18680363228372512,0.25470257700016763,0.24705027989729844,0.2352809325845151,0.22883087760054954,0.23240681635089624,0.23910835483661944,0.21850441048433766,0.22360067607396264,0.1720087091610744,0.2252178199491639,0.24292894998699124,0.1608582558652013,0.22570102830069227
Electric Feel,0.1529308793191254,0.187005569184903,0.1659546755558527,0.2196116821461007,0.1714279746179056,0.15938816476692932,0.21169759428051688,0.20693681482217086,0.2036409824327168,0.1735261225860722,0.2516293929342341,0.19900270547703008,0.12897108058938095,0.22684095665202622,0.3467936082217185
Kids,0.3943794514253904,0.21688755995459058,0.29132907395980523,0.30597143621953304,0.36526639192480403,0.1674607170117096,0.24113564310652497,0.20853434029841703,0.17849335117213183,0.24878227339892686,0.31162595798069775,0.3052349316421916,0.3058011479928088,0.19193704621746865,0.22957087869062884
Take a Walk,0.2213098895899376,0.2029285902815032,0.2178644361822276,0.26651175073718447,0.25146622745608704,0.1693485029495843,0.15308430329117959,0.141611405950387,0.14692495312645604,0.14205287213186316,0.19516905852572378,0.1879763592826264,0.22192188767027093,0.14280286922431856,0.1503202583628805
