,drama,horror,comedy,action,investigation,science fiction
The Shawshank Redemption,0.322639869,0.265300872,0.26915723,0.524213168,0.392138274,0.298204832
The Godfather,0.295960801,0.182875461,0.213034495,0.477061776,0.441496823,0.287458137
The Dark Knight,0.354969567,0.306802762,0.29888256,0.563516542,0.373412859,0.350643449
The Godfather: Part II,0.389304437,0.228778809,0.308934168,0.46673212,0.380258134,0.331822157
12 Angry Men,0.245466379,0.163851904,0.173935811,0.542285715,0.490150938,0.246201892
The Lord of the Rings: The Return of the King,0.308667952,0.226356555,0.243331905,0.533660882,0.36735106,0.295995844
Pulp Fiction,0.421520119,0.311461134,0.355863985,0.502334929,0.371736976,0.330142164
Schindler's List,0.30365871,0.256875322,0.201098181,0.500224146,0.359396571,0.275811428
Inception,0.331565642,0.224957814,0.26899743,0.520836113,0.438929689,0.365685196
Fight Club,0.310911527,0.23995703,0.29592849,0.535772608,0.411368806,0.321491527
The Lord of the Rings: The Fellowship of the Ring,0.331861677,0.230788266,0.268702183,0.488841561,0.349076928,0.317408956
Forrest Gump,0.385523534,0.277090006,0.287090679,0.514346767,0.441510435,0.369302134
"Il buono, il brutto, il cattivo",0.328005159,0.199781028,0.273440632,0.496196683,0.390525399,0.287164779
The Lord of the Rings: The Two Towers,0.308996734,0.20514164,0.245137487,0.502712944,0.362057902,0.312935268
The Matrix,0.380930813,0.302160316,0.325246142,0.508637499,0.413180979,0.391221858
Goodfellas,0.407326362,0.257589386,0.363731797,0.456155827,0.404193288,0.340685008
Star Wars: Episode V - The Empire Strikes Back,0.33648296,0.204029942,0.264823235,0.50076817,0.345641025,0.285235339
One Flew Over the Cuckoo's Nest,0.32343193,0.220747299,0.239011092,0.53290414,0.440124866,0.259862745
Hamilton,0.428727941,0.255959566,0.373991173,0.478822473,0.332112667,0.370432048
Gisaengchung,0.319486907,0.176701476,0.265429126,0.472026266,0.354643911,0.271600936
