,algorithm,neural network,training,dataset,prediction,classification,regression,clustering,overfitting,gradient descent
iterate,0.225432656,-0.068606906,-0.145580246,0.193486731,0.052782169,-0.045089167,0.220100677,0.178630601,0.19318309,0.038685562
filter,0.324590916,0.274802305,-0.041729936,0.114000771,0.107488774,0.151219621,0.217715763,0.22187704,0.066324522,0.15200049
label,0.02130268,0.073521003,0.068612441,-0.093974819,0.052170065,0.106020675,-0.083804477,-0.0119354,-0.02686056,-0.024669402
generalize,0.294809195,0.107147228,-0.052969772,0.230857407,0.161318774,0.146337017,0.344367489,0.322266422,0.221040032,0.16884952
refine,0.173463462,0.08857669,0.165515849,0.139090737,0.166943329,0.062198104,0.153513912,0.162735275,0.105860301,-0.020204866
circuit,0.15613259,0.260251769,0.115945399,0.019951005,-0.003514279,0.143065197,0.003852284,0.023994865,-0.105653181,0.158629806
spectrum,0.10766286,0.259620267,0.050459258,0.192567871,0.051018246,0.190495932,0.083235289,0.101308214,-0.092140973,0.120053162
archive,0.090550967,0.12957716,0.014024011,0.210922817,-0.018824179,0.114980873,-0.01237943,0.05210484,-0.017936374,-0.032160355
threshold,0.116955217,0.099974799,0.028222663,0.102496286,0.223458279,0.140258957,0.129675298,0.04617545,0.002281532,0.221830543
structure,0.188218977,0.347787806,0.217907527,0.083893074,0.202812614,0.302744465,0.108043489,0.154240002,-0.131907177,0.144925877
