,algorithm,neural network,training,dataset,prediction,classification,regression,clustering,overfitting,gradient descent
iterate,0.4863255750415998,0.2763113232927835,0.4250998685709372,0.3992245523040411,0.3772631039280667,0.399175817851926,0.34253541042449825,0.3208623163233336,0.3386334343712396,0.2532423649470963
filter,0.4385525446603986,0.23655116475276847,0.24291987588106542,0.34435198885198987,0.2941649419892777,0.3775060441308741,0.2865409086683364,0.27380134286838254,0.32510983269760285,0.1978597787969091
label,0.35504728935131824,0.1555781754623899,0.2321418548218603,0.39192462673057993,0.269093336105264,0.5426886034893168,0.232149349411566,0.29523483348820867,0.23586044210210558,0.10673725222551267
generalize,0.3633453338377424,0.2649517898101887,0.2304450347997061,0.2961010915215691,0.3653100925754666,0.365889813922266,0.33384038950257533,0.28603318956664714,0.38267857165553576,0.2773652961622205
refine,0.33537424390649784,0.16100893917293457,0.2768848216517411,0.25682785681043246,0.2090103693208351,0.27716573001690226,0.3250812237035257,0.26875371093177264,0.2598170625078213,0.25852442771144907
circuit,0.30508797507700924,0.3583622636726758,0.24211839910906527,0.2651333330504043,0.19711632178157787,0.30373228529516666,0.22632611508101466,0.297543100510108,0.16994410828919976,0.12450028352836218
spectrum,0.2184199917422562,0.18478089625575916,0.19393667433170655,0.40464901999785413,0.21151754005102572,0.31325204128476947,0.22898574164481456,0.2776387017141716,0.21114249012192654,0.1082701279240469
archive,0.3164902354379897,0.18759023330986355,0.2743202959278969,0.5361910470899882,0.3042722960165098,0.37080940338400187,0.2843589506531937,0.21784998417476037,0.23092121948605776,0.13329840618659905
threshold,0.3973465148285755,0.2408121382444766,0.39286494253889515,0.3854950886030153,0.42154858519347554,0.4500789274339464,0.3433215474935044,0.3187596390454857,0.3614778560444608,0.324184293510554
structure,0.38782704063191953,0.2744768083282676,0.3358215234296131,0.44866764455735364,0.26918662155865664,0.5000220697438537,0.24694188442662968,0.3255781405644231,0.22764144275297538,0.20813836661221977
